Part_Number,Manufacturer,Model,NPS_inch,DN_mm,Class_lbs,H_mm,L1_mm,L_mm,D_mm,E_mm,ISO_Flange,Torque_Nm,Weight_kg,Body_Material,Ball_Material,Stem_Material,Seat_Material,Standard_Face_To_Face,Standard_Flange
INTEC-K200-1/2IN-150LBS,KLINGER Schöneberg,INTEC K200,"1/2""",15,150,95.0,160.0,108.0,89.0,39.5,F05,9.0,2.1,A216-WCB / ASTM A351-CF8M,1.4408 (ASTM A351-CF8M),1.4462 (A479 UNS S31803),KFGN/KFM,ANSI B 16.10,ANSI B 16.5
INTEC-K200-1/2IN-300LBS,KLINGER Schöneberg,INTEC K200,"1/2""",15,300,95.0,160.0,140.0,95.0,39.5,F05,10.0,2.9,A216-WCB / ASTM A351-CF8M,1.4408 (ASTM A351-CF8M),1.4462 (A479 UNS S31803),KFGN/KFM,ANSI B 16.10,ANSI B 16.5
INTEC-K200-3/4IN-150LBS,KLINGER Schöneberg,INTEC K200,"3/4""",20,150,105.0,160.0,117.0,98.0,46.0,F05,11.0,3.0,A216-WCB / ASTM A351-CF8M,1.4408 (ASTM A351-CF8M),1.4462 (A479 UNS S31803),KFGN/KFM,ANSI B 16.10,ANSI B 16.5
INTEC-K200-3/4IN-300LBS,KLINGER Schöneberg,INTEC K200,"3/4""",20,300,105.0,160.0,152.0,117.0,46.0,F05,13.0,4.2,A216-WCB / ASTM A351-CF8M,1.4408 (ASTM A351-CF8M),1.4462 (A479 UNS S31803),KFGN/KFM,ANSI B 16.10,ANSI B 16.5
INTEC-K200-1IN-150LBS,KLINGER Schöneberg,INTEC K200,"1""",25,150,114.0,180.0,127.0,108.0,49.5,F05,14.0,4.1,A216-WCB / ASTM A351-CF8M,1.4408 (ASTM A351-CF8M),1.4462 (A479 UNS S31803),KFGN/KFM,ANSI B 16.10,ANSI B 16.5
INTEC-K200-1IN-300LBS,KLINGER Schöneberg,INTEC K200,"1""",25,300,114.0,180.0,165.0,124.0,49.5,F05,18.0,5.0,A216-WCB / ASTM A351-CF8M,1.4408 (ASTM A351-CF8M),1.4462 (A479 UNS S31803),KFGN/KFM,ANSI B 16.10,ANSI B 16.5
INTEC-K200-11/4IN-150LBS,KLINGER Schöneberg,INTEC K200,"1 1/4""",32,150,130.0,180.0,140.0,117.0,59.0,F05,18.0,5.0,A216-WCB / ASTM A351-CF8M,1.4408 (ASTM A351-CF8M),1.4462 (A479 UNS S31803),KFGN/KFM,ANSI B 16.10,ANSI B 16.5
INTEC-K200-11/4IN-300LBS,KLINGER Schöneberg,INTEC K200,"1 1/4""",32,300,130.0,180.0,178.0,133.0,59.0,F05,25.0,7.0,A216-WCB / ASTM A351-CF8M,1.4408 (ASTM A351-CF8M),1.4462 (A479 UNS S31803),KFGN/KFM,ANSI B 16.10,ANSI B 16.5
INTEC-K200-11/2IN-150LBS,KLINGER Schöneberg,INTEC K200,"1 1/2""",40,150,135.0,300.0,165.0,127.0,76.0,F07,39.0,8.0,A216-WCB / ASTM A351-CF8M,1.4408 (ASTM A351-CF8M),1.4462 (A479 UNS S31803),KFGN/KFM,ANSI B 16.10,ANSI B 16.5
INTEC-K200-11/2IN-300LBS,KLINGER Schöneberg,INTEC K200,"1 1/2""",40,300,135.0,300.0,190.0,156.0,76.0,F07,52.0,10.5,A216-WCB / ASTM A351-CF8M,1.4408 (ASTM A351-CF8M),1.4462 (A479 UNS S31803),KFGN/KFM,ANSI B 16.10,ANSI B 16.5
